;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G66)),ISBLANK(G67)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G66)),ISBLANK($G67)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G66)),ISBLANK($G67)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G66)),ISBLANK($G67)),$C$42-$H$40-$F$42,"""")";;;Suravenir;0.42;x;"=IF(I67=""x"",H67,0)";Assurances/Mutuelle;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G67)),ISBLANK(G68)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G67)),ISBLANK($G68)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G67)),ISBLANK($G68)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G67)),ISBLANK($G68)),$C$42-$H$40-$F$42,"""")";;;Metro Rennes;3.4;x;"=IF(I68=""x"",H68,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G68)),ISBLANK(G69)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G68)),ISBLANK($G69)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G68)),ISBLANK($G69)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G68)),ISBLANK($G69)),$C$42-$H$40-$F$42,"""")";;;Café CAPG;0.5;x;"=IF(I69=""x"",H69,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G69)),ISBLANK(G70)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G69)),ISBLANK($G70)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G69)),ISBLANK($G70)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G69)),ISBLANK($G70)),$C$42-$H$40-$F$42,"""")";;;Gouter Rennes;11.4;x;"=IF(I70=""x"",H70,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G70)),ISBLANK(G71)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G70)),ISBLANK($G71)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G70)),ISBLANK($G71)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G70)),ISBLANK($G71)),$C$42-$H$40-$F$42,"""")";;;Cigarettes;13;x;"=IF(I71=""x"",H71,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G71)),ISBLANK(G72)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G71)),ISBLANK($G72)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G71)),ISBLANK($G72)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G71)),ISBLANK($G72)),$C$42-$H$40-$F$42,"""")";;;Train Rennes;34;x;"=IF(I72=""x"",H72,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G72)),ISBLANK(G73)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G72)),ISBLANK($G73)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G72)),ISBLANK($G73)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G72)),ISBLANK($G73)),$C$42-$H$40-$F$42,"""")";;;Commande Focus;77;x;"=IF(I73=""x"",H73,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G73)),ISBLANK(G74)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G73)),ISBLANK($G74)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G73)),ISBLANK($G74)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G73)),ISBLANK($G74)),$C$42-$H$40-$F$42,"""")";;;Coiffeur;100;x;"=IF(I74=""x"",H74,0)";Soins;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G74)),ISBLANK(G75)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G74)),ISBLANK($G75)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G74)),ISBLANK($G75)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G74)),ISBLANK($G75)),$C$42-$H$40-$F$42,"""")";;;Boulangerie;6.27;x;"=IF(I75=""x"",H75,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G75)),ISBLANK(G76)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G75)),ISBLANK($G76)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G75)),ISBLANK($G76)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G75)),ISBLANK($G76)),$C$42-$H$40-$F$42,"""")";;;Leclerc;201.42;x;"=IF(I76=""x"",H76,0)";Courses;;;;;;;;;;;;;;;;;;
